Scope,Rank,Agent Name,Tier,Rating,Agentic Capability,Q1 (Technical/Standard),Q1 Agentic Action,Q2 (Investigation/Deep),Q2 Agentic Action,Q3 (Optimization/Logic),Q3 Agentic Action,GitHub/Docs Link,Ecosystem,Ollama Model (2026)
SRE,1,K8sGPT,1,5.0,Scans clusters for issues and provides automated RCA.,Why is my Pod in CrashLoopBackOff?,Scans logs/events and provides a human-readable fix.,High 5xx errors in checkout?,Identifies broken Services or failing Ingress rules.,Optimize cluster costs?,Suggests resource limit changes based on static analysis.,https://github.com/k8sgpt-ai/k8sgpt,CNCF Sandbox,qwen3:14b-instruct
SRE,2,HolmesGPT,1,4.5,Investigates alerts by autonomously running CLI commands.,Why is my Pod in CrashLoopBackOff?,Runs kubectl commands to fetch logs and traces autonomously.,High 5xx errors in checkout?,Correlates Prometheus alerts with git commits/config changes.,Optimize cluster costs?,Evaluates historical usage to recommend YAML updates.,https://github.com/robusta-dev/holmesgpt,CNCF / Open Standards,qwen3:14b-instruct
SRE,3,PagerDuty AI,3,4.5,Autonomous alert correlation and triage automation.,Why is my Pod in CrashLoopBackOff?,Summarizes previous similar incidents and metadata.,High 5xx errors in checkout?,Aggregates thousands of alerts into one "Incident".,Optimize cluster costs?,N/A (Focuses on triage/response).,https://support.pagerduty.com/,LSF Security,qwen3:14b-instruct
SRE,4,Metoro,2,4.0,Uses eBPF for autonomous service mapping and debugging.,Why is my Pod in CrashLoopBackOff?,Uses eBPF to see exactly which line of code or kernel call failed.,High 5xx errors in checkout?,Traces 5xx errors across service mesh in real-time.,Optimize cluster costs?,Provides "Right-sizing" data based on eBPF telemetry.,https://metoro.io/docs,CNCF / eBPF,qwen3:14b-instruct
SRE,5,Cleric,2,3.5,Mimics an engineer's "parallel investigation" loop.,Why is my Pod in CrashLoopBackOff?,Spawns parallel investigator threads to test hypotheses.,High 5xx errors in checkout?,Logs into tools (Logs/Traces) to build a timeline.,Optimize cluster costs?,Autonomously creates a PR to adjust resource quotas.,https://github.com/ClericHQ,Infra Interop,qwen3:14b-instruct
Research,1,Perplexity Pro,3,5.0,Multi-step research with autonomous source validation.,Efficacy of Drug X for Condition Y?,Searches live web/journals and provides cited summary.,Methodology of top 5 2025 papers?,Rapidly pulls snippets from 5 most relevant papers found.,Source that contradicts theory?,Specifically searches for critiques or counter-arguments.,https://www.perplexity.ai/,Open Web Standards,deepseek-r1:32b
Research,2,Glean,3,4.8,Autonomous internal knowledge discovery for enterprises.,Efficacy of Drug X for Condition Y?,Searches internal company docs for R&D knowledge.,Methodology of top 5 2025 papers?,Summarizes internal whitepapers and restricted PDFs.,Source that contradicts theory?,Flags internal docs that differ from external benchmarks.,https://www.glean.com/,Enterprise Search,deepseek-r1:32b
Research,3,Elicit,2,4.0,Automates literature review and data extraction.,Efficacy of Drug X for Condition Y?,Performs structured lit review across 200M+ papers.,Methodology of top 5 2025 papers?,Extracts data into a table (n-size, results, method).,Source that contradicts theory?,Uses filters to find papers with "Opposing" results.,https://elicit.com/,Open Science,deepseek-r1:32b
Research,4,LangGraph,1,4.0,Framework for building stateful multi-agent flows.,Efficacy of Drug X for Condition Y?,(Custom) Loop that stays in task until X papers found.,Methodology of top 5 2025 papers?,Orchestrates "Search -> Extract -> Compare" workflow.,Source that contradicts theory?,Can be programmed to "debate" a topic using two agents.,https://github.com/langchain-ai/langgraph,OSS Framework,deepseek-r1:32b
Research,5,Consensus,2,3.5,Synthesizes answers from 200M+ academic papers.,Efficacy of Drug X for Condition Y?,Provides a "Consensus Meter" (% of papers that agree).,Methodology of top 5 2025 papers?,Analyzes peer-reviewed metadata to extract key findings.,Source that contradicts theory?,Filters for "Highly Cited" vs "Controversial" findings.,https://consensus.app/,Evidence-Based,deepseek-r1:32b
Art/Creative,1,Midjourney,3,5.0,Iterative agentic refinement via "Remix" modes.,Consistent character in 5 scenes?,Uses "Character Reference" (--cref) for visual identity.,Upscale while maintaining style?,Uses "Upscale" (Creative/Subtle) to add AI detail.,Automate background/icon/logo?,Requires manual prompting for each separate asset.,https://docs.midjourney.com/,AI Ethics,llama4:8b-instruct
Art/Creative,2,ComfyUI,2,4.5,Node-based autonomous art pipeline orchestration.,Consistent character in 5 scenes?,Executes node-graph feeding same seed into different nodes.,Upscale while maintaining style?,Runs "Tile Diffusion" pass to regenerate details at 4k.,Automate background/icon/logo?,One-click: Graph generates all three simultaneously.,https://github.com/comfy-org/ComfyUI,OSS Community,llama4:8b-instruct
Art/Creative,3,Krea AI,3,4.0,Real-time generative enhancement and upscaling.,Consistent character in 5 scenes?,Uses "Real-time" agent to doodle character into poses.,Upscale while maintaining style?,Provides "Enhancer" agent to fix lighting/textures live.,Automate background/icon/logo?,Focuses on iterative enhancing over multi-asset pipes.,https://www.krea.ai/,Open Weights,llama4:8b-instruct
Cybersec,1,PentestGPT,1,4.5,Automates penetration testing workflows.,Perform grey-box pentest on app?,Guides human through a tree of tests; remembers state.,Is new CVE relevant to my K8s?,Compares CVE data against provided infra-scan logs.,Identify logical flaws in auth?,Prompts user to check for IDOR based on traffic.,https://github.com/GreyD0ne/PentestGPT,OpenSSF / OSS,qwen3:32b-instruct
Cybersec,2,Radiant Security,3,4.5,Autonomous SOC incident investigation and response.,Perform grey-box pentest on app?,Investigates SOC alerts to see if "True Positives".,Is new CVE relevant to my K8s?,Scans cloud environments for exposures mapped to CVE.,Identify logical flaws in auth?,Mimics an attacker to find lateral movement paths.,https://radiantsecurity.ai/,SOC Automation,qwen3:32b-instruct
Cybersec,3,Mindgard,3,4.0,Autonomous "Red Teaming" for AI model safety.,Perform grey-box pentest on app?,"Red Teams" AI models to see if jailbreakable.,Is new CVE relevant to my K8s?,Checks if LLM is vulnerable to Prompt Injection.,Identify logical flaws in auth?,Tests if AI leaks sensitive training data (PII).,https://mindgard.ai/,AI Security,qwen3:32b-instruct
Cybersec,4,BurpGPT,2,3.5,Autonomous web vulnerability scanning via LLM.,Perform grey-box pentest on app?,Analyzes HTTP requests/responses for "meaning".,Is new CVE relevant to my K8s?,Flags complex vulnerabilities (Business Logic) via LLM.,Identify logical flaws in auth?,N/A (Focuses on Web/App layer).,https://github.com/v87/burpgpt,OWASP Standards,qwen3:32b-instruct
Cybersec,5,XBOW,3,3.5,Autonomous web vulnerability discovery/exploit.,Perform grey-box pentest on app?,Autonomously exploits vulnerabilities to prove they are real.,Is new CVE relevant to my K8s?,Validates if a CVE is "reachable" in your environment.,Identify logical flaws in auth?,Chains multiple low-level bugs into a full exploit path.,https://xbow.com/,Sec Automation,qwen3:32b-instruct
Legal/Ops,1,Harvey AI,3,4.8,Specialist legal reasoning and analysis agent.,Review 50-page NDA for clauses?,Compares text against "Gold Standard" firm library.,Draft response to SOC2 audit?,Generates memo citing specific regulatory requirements.,Find missing indemnity in 1000 docs?,N/A (Specializes in deep review per doc).,https://www.harvey.ai/,Transparency,deepseek-r1:70b
Legal/Ops,2,Spellbook,3,4.0,AI-powered contract drafting/review specialist.,Review 50-page NDA for clauses?,Flags risky language inside MS Word as you type.,Draft response to SOC2 audit?,Suggests "Compliant" wording for retention policy.,Find missing indemnity in 1000 docs?,N/A (Specializes in real-time drafting).,https://www.spellbook.legal/,Legal Standards,deepseek-r1:70b
Legal/Ops,3,MultiOn,2,4.5,Browser-based "Action" agent (The Hands).,Upload 50-page NDA to portal?,Navigates to URL, logs in, and uploads the file.,Book flight for Legal travel?,Finds flights, selects based on profile, waits for Buy.,Click 'Approve' on 50 pending NDAs?,Navigates internal UI to click specific buttons.,https://docs.multion.ai/,AAIF (Agentic),qwen3:14b-instruct
Legal/Ops,4,Dagger,1,4.5,Infrastructure-as-Code pipeline agent (The Pipeline).,Verify NDA retention policy?,Runs automated script to check if logs/files are purged.,Trigger Legal scan on commit?,Fails a CI/CD build if required legal headers are missing.,Audit 1000 docs for PII?,Executes parallel containerized scans on file storage.,https://github.com/dagger/dagger,CNCF / LSF,qwen3:14b-instruct
Legal/Ops,5,CrewAI,1,4.0,Multi-agent workflow manager (The Orchestrator).,Analyze NDA for risk?,Assigns "Legal Analyst" and "Risk Manager" roles to debate.,Prepare Legal Audit report?,Coordinates data fetching from 3 tools into a final report.,Automate Legal intake?,Triggers a multi-step sequence from email to storage.,https://github.com/joaomdmoura/crewai,OSS Framework,deepseek-r1:32b
Legal/Ops,6,Browser-Use,3,4.0,AI-powered browser automation framework.,Scrape structured data from portal?,Navigates pages and extracts data via LLM reasoning.,Fill multi-step web form?,Drives browser through form fields with context awareness.,Automate repetitive web workflow?,Chains browser actions with LLM decision-making.,https://github.com/browser-use/browser-use,OSS Community,qwen3:14b-instruct
Legal/Ops,7,Sierra,3,4.3,Autonomous business process orchestration.,Optimize customer support flow?,Analyzes chat transcripts and suggests routing improvements.,Resolve shipping dispute?,Autonomously contacts carrier APIs and updates order state.,Automate refund policy?,Checks eligibility and executes refund via ERP integration.,https://sierra.ai/,Enterprise CX,deepseek-r1:32b
Legal/Ops,7,SkillFortify,3,4.0,Autonomous professional skill gap analysis.,Assess team Cloud skills?,Scans repo history and certification data for gaps.,Create training path?,Generates custom curriculum based on detected weaknesses.,Validate skill growth?,Runs automated assessments and tracks progress over time.,https://skillfortify.com/,EduTech Standards,deepseek-r1:32b
